symbol,name,market,mc_krw,eps_trend_ok,fy_complete_0y,fy_complete_1y,snap_ok_count,0y_current,0y_7d,0y_30d,0y_60d,0y_90d,1y_current,1y_90d,endDate_0y_ok,endDate_1y_ok,rev_ok_0y,up7,up30,dn30,dn7,na,rev_growth,op_margin,gross_margin,fwd_pe,fwd_eps,earn_date_present,error
005930.KS,SamsungElec,KS,1186887403361000.0,True,True,True,5,43656.223,42877.54,34773.367,24894.336,21307.426,51203.273,22808.857,True,True,True,9,20,3,3,36,0.693,0.42718,0.47674,5.6637006,,True,
005380.KS,HyundaiMtr,KS,106883553852000.0,True,True,True,5,44433.69,44370.844,45205.598,47006.9,47301.918,49662.477,51729.957,True,True,True,9,2,15,7,31,0.034,0.05475,0.17708,13.954197,,True,
000660.KS,SK hynix,KS,721967495745000.0,True,True,True,5,294399.22,292667.16,215432.33,188427.95,164505.56,376562.03,176893.7,True,True,True,1,26,0,0,38,1.981,0.71535003,0.59647,5.154529,,True,
402340.KS,SKSQUARE,KS,80705227265000.0,True,True,True,5,158899.11,154696.98,163839.28,153441.25,123785.61,201982.39,103948.37,True,True,True,3,3,0,0,10,1.081,-0.11807,0.97103995,5.7777314,,True,
373220.KS,LG Energy Solution,KS,86814000000000.0,True,True,True,5,2315.5833,2686.6643,3307.5625,3680.162,3766.0632,8687.075,9610.384,True,True,True,1,1,6,5,30,,0.19408001,0.17883,50.189503,,True,
207940.KS,SAMSUNG BIOLOGICS,KS,73371157335000.0,True,True,True,5,40933.105,40913.598,39525.504,37825.32,37475.453,48468.535,46159.53,True,True,True,6,6,3,2,25,,0.46221,0.55152,29.283548,,True,
012450.KS,HANWHA AEROSPACE,KS,70899676375000.0,True,True,True,5,44091.83,45199.93,48430.69,49191.78,49305.3,54738.91,57038.566,True,True,True,2,1,8,7,21,0.745,0.095249996,0.20352,23.52988,,True,
000270.KS,KIA CORP.,KS,66565416159000.0,True,True,True,5,21560.646,21561.31,21946.033,21987.611,21648.334,23577.922,23789.467,True,True,True,0,10,14,0,30,0.035,0.065560006,0.19638,7.409474,,True,
034020.KS,Doosan Enerbility,KS,68091649819800.0,True,True,True,5,628.70575,628.70575,655.11304,674.1752,811.6896,1004.2572,1179.7239,True,True,True,3,4,4,4,21,0.059,0.03372,0.16082,115.70741,,False,
329180.KS,HD HYUNDAI HEAVY INDUSTRIES,KS,59513014575000.0,True,True,True,5,29838.547,25876.225,25351.383,25787.973,25892.525,33197.746,31809.527,True,True,True,8,8,0,0,23,0.296,0.1106,0.16833,20.39295,,True,
105560.KS,KBFinancialGroup,KS,58052815843500.0,True,True,True,5,17647.672,17585.252,17544.242,17470.943,16660.73,18903.162,17899.023,True,True,True,10,10,1,1,20,6.874,0.08885,0.0,8.183816,,True,
