ticker,index,score_321,score_slope,eps_chg_60d,peg,price,ma_20,ma_60,ma_200,rsi,dollar_vol_M,sector,current,7d,30d,60d,90d,is_aligned,is_quality_growth,is_reasonable_value,is_technical_rescue,pass_reason,rev_growth,op_growth,from_52w_high,action,fwd_per,roe,peg_calculated,hybrid_score,price_position_score,high_52w,action_multiplier,actionable_score,quality_score,quality_grade,value_score,value_label,actionable_score_v63,volume_spike,earnings_dday,fake_bottom
TPR,SP500,9.4,0.0,2.2,,129.67,130.51,119.99,103.13,41.4,277.0,Consumer Cyclical,6.32426,6.2788,6.20132,6.18529,6.09943,True,True,False,False,"Quality Growth (Rev+13%, Op+30%)",13.1,30.2,-4.7,관망,20.5,16.1,9.11,7.1,4.7,136.04,0.7,4.97,65,B+급,35,버블,35.0,False,,False
SPGI,SP500,9.1,0.0,0.7,,527.66,535.73,513.01,513.29,38.6,763.1,Financial Services,19.94597,19.91117,19.82995,19.81037,19.41744,True,True,False,False,"Quality Growth (Rev+9%, Op+19%)",8.8,19.0,-8.5,관망 (조정부족),26.4,12.0,38.9,7.89,8.5,576.91,0.7,5.52,65,B+급,35,버블,35.0,False,,False
HII,SP500,9.4,0.0,1.8,,420.3,406.72,349.83,283.5,64.0,262.7,Industrials,17.65123,17.61057,17.48571,17.34736,17.02696,True,True,False,False,"Quality Growth (Rev+16%, Op+113%)",16.1,112.9,-3.6,관망,23.8,12.4,13.61,6.6,3.6,436.14,0.7,4.62,65,B+급,25,버블,31.499999999999996,False,,False
WAB,SP500,9.1,0.0,0.5,,233.69,227.67,216.03,202.61,61.8,154.7,Industrials,10.21828,10.20995,10.18335,10.16419,10.10371,True,True,False,False,"Quality Growth (Rev+8%, Op+13%)",8.4,13.4,-1.0,관망,22.9,11.2,43.15,5.72,1.0,236.0,0.7,4.0,65,B+급,25,버블,31.499999999999996,False,,False
AEE,SP500,9.1,0.0,0.4,,102.4,102.17,101.54,99.13,61.2,148.7,Utilities,5.35616,5.34995,5.33749,5.3323,5.32826,True,True,False,False,"Quality Growth (Rev+24%, Op+41%)",24.2,40.8,-3.4,관망,19.1,11.4,42.49,6.6,3.4,105.97,0.7,4.62,65,B+급,25,버블,31.499999999999996,False,,False
RL,SP500,5.5,0.0,2.5,,356.54,361.95,354.57,306.58,44.5,171.7,Consumer Cyclical,17.09627,17.00335,16.64807,16.67363,16.2305,False,True,False,False,"Quality Growth (Rev+16%, Op+43%)",16.5,43.4,-5.9,관망 (조정부족),20.8,34.0,8.24,5.5,5.9,379.04,0.7,3.85,45,C급,43,고평가,30.799999999999997,False,,False
ROK,SP500,9.0,0.0,0.2,,429.15,416.33,399.24,348.22,58.8,294.0,Industrials,13.61853,13.60962,13.59258,13.58541,13.01121,True,True,False,False,"Quality Growth (Rev+14%, Op+61%)",13.8,61.4,-0.1,관망,31.5,20.3,131.29,5.19,0.1,429.58,0.7,3.63,70,A급,17,버블,30.45,False,,False
ROL,SP500,9.1,0.0,0.5,,63.51,62.03,60.55,57.72,76.9,136.4,Consumer Cyclical,1.27976,1.27861,1.27841,1.27298,1.2517,True,True,False,False,"Quality Growth (Rev+12%, Op+17%)",12.0,17.3,-0.5,관망 (RSI🚀고점),49.6,36.2,93.64,5.11,0.5,63.84,0.75,3.83,75,A급,5,버블,30.0,False,,False
FDX,SP500,9.4,0.0,1.9,,335.3,311.08,287.29,244.43,68.2,655.2,Industrials,21.24714,21.22851,21.1745,20.85294,20.77868,True,True,False,False,"Quality Growth (Rev+7%, Op+18%)",6.8,17.6,-0.1,관망 (고점경계),15.8,15.9,8.35,5.98,0.1,335.6,0.7,4.19,65,B+급,20,버블,29.749999999999996,False,,False
CASY,SP400_MidCap,9.9,0.0,4.3,,625.86,608.61,570.98,524.76,62.0,209.7,Consumer Cyclical,19.18743,19.17861,18.89452,18.39927,18.27082,True,True,False,False,"Quality Growth (Rev+14%, Op+18%)",14.2,18.4,-3.3,관망,32.6,17.0,7.62,6.54,3.3,647.39,0.7,4.58,65,B+급,17,버블,28.7,False,,False
CAH,SP500,9.4,0.0,2.0,,218.93,209.47,205.62,169.6,72.1,367.2,Healthcare,11.29142,11.20077,11.08476,11.07028,10.8697,True,True,False,False,"Quality Growth (Rev+22%, Op+37%)",22.4,36.8,,관망 (RSI🚀),19.4,,9.7,5.73,,218.93,0.75,4.3,55,B급,20,버블,28.125,False,,False
ORLY,NASDAQ_100,9.0,0.0,0.1,,98.01,96.02,96.15,96.67,58.7,597.9,Consumer Cyclical,3.31112,3.30939,3.30931,3.30928,3.30833,True,True,False,False,"Quality Growth (Rev+8%, Op+9%)",7.8,8.8,-9.9,관망 (조정부족),29.6,,493.33,8.14,9.8,108.72,0.7,5.7,55,B급,25,버블,28.0,False,,False
TEL,SP500,5.6,0.0,3.2,,227.13,230.89,232.08,201.96,42.3,478.4,Technology,12.37272,12.3433,11.98718,11.99318,11.74692,False,True,False,False,"Quality Growth (Rev+22%, Op+31%)",21.7,31.0,-9.4,관망 (조정부족),18.4,16.1,5.81,6.72,9.4,250.67,0.7,4.7,35,C급,43,고평가,27.299999999999997,False,,False
WTS,SP400_MidCap,9.2,0.0,1.0,,305.48,293.45,281.29,263.23,66.5,49.8,Industrials,11.28181,11.27271,11.19626,11.17116,10.55771,True,True,False,False,"Quality Growth (Rev+13%, Op+15%)",12.5,15.5,-0.2,관망 (고점경계),27.1,17.8,27.35,5.4,0.2,306.07,0.7,3.78,65,B+급,12,버블,26.95,False,,False
BURL,SP400_MidCap,4.9,0.0,-0.5,,298.68,301.88,283.13,266.0,47.3,246.1,Consumer Cyclical,11.14232,11.13621,11.11257,11.19982,11.24096,False,True,False,False,"Quality Growth (Rev+7%, Op+17%)",7.1,16.5,-5.2,관망 (조정부족),26.8,41.9,,4.76,5.2,315.14,0.7,3.33,40,C급,30,버블,24.5,False,,False
LECO,SP400_MidCap,5.1,0.0,0.4,,267.62,256.87,243.35,225.82,65.5,80.4,Industrials,10.812,10.77982,10.74709,10.77345,10.75982,False,True,False,False,"Quality Growth (Rev+8%, Op+10%)",7.9,10.1,-0.5,관망 (고점경계),24.8,38.1,68.75,3.49,0.5,268.93,0.7,2.44,45,C급,20,버블,22.75,False,,False
AEIS,SP400_MidCap,6.1,0.0,0.6,,261.82,247.66,224.09,168.4,65.8,234.7,Industrials,7.8278,7.78507,7.78144,7.78144,6.72256,False,True,False,False,"Quality Growth (Rev+24%, Op+185%)",23.8,185.1,-5.5,관망 (과열경계),33.4,11.8,55.75,5.32,5.5,277.15,0.7,3.72,35,C급,20,버블,19.25,False,,False
FE,SP500,5.0,0.0,0.0,,46.99,46.26,45.74,43.31,72.1,211.9,Utilities,2.72179,2.71855,2.71837,2.72106,2.71918,False,True,False,False,"Quality Growth (Rev+11%, Op+14%)",11.2,14.2,-2.0,관망 (RSI🚀고점),17.3,11.2,575.33,4.26,2.0,47.94,0.75,3.2,30,C급,20,버블,18.75,False,,False
DY,SP400_MidCap,5.6,0.0,2.8,,383.58,362.27,342.38,275.6,69.7,129.5,Industrials,13.82048,13.59458,13.39424,13.44333,11.47494,False,True,False,False,"Quality Growth (Rev+14%, Op+48%)",14.1,48.1,-1.1,관망 (고점경계),27.8,21.9,9.88,3.85,1.2,388.04,0.7,2.7,40,C급,12,버블,18.2,False,,False
NYT,SP400_MidCap,4.1,0.0,0.6,,73.7,71.66,67.7,59.1,73.8,104.5,Communication Services,2.63202,2.63157,2.63157,2.61713,2.50635,False,True,False,False,"Quality Growth (Rev+9%, Op+32%)",9.5,31.8,-0.4,관망 (RSI🚀고점),28.0,17.6,49.12,2.9,0.4,74.02,0.75,2.17,35,C급,12,버블,17.625,False,,False
HLT,SP500,5.0,0.0,0.2,,302.93,297.29,285.27,266.67,53.7,587.7,Consumer Cyclical,9.14698,9.13641,9.12898,9.1305,9.11779,False,True,False,False,"Quality Growth (Rev+9%, Op+24%)",8.8,24.3,-1.1,관망,33.1,,184.0,3.45,1.1,306.28,0.7,2.42,25,C급,22,버블,16.45,False,,False
FTI,SP400_MidCap,9.3,0.0,1.7,,56.45,52.53,47.28,38.54,88.6,183.6,Energy,2.78397,2.76631,2.75579,2.73829,2.72979,True,True,False,False,"Quality Growth (Rev+13%, Op+40%)",12.7,40.2,-0.8,진입금지 (극과열),20.3,29.3,12.14,5.9,0.8,56.93,0.3,1.77,70,A급,20,버블,13.5,False,,False
LITE,SP400_MidCap,12.1,0.1,15.3,,423.42,362.26,329.08,179.21,66.8,1983.5,Technology,9.2108,9.12379,8.18319,7.9888,6.6814,True,True,False,False,"Quality Growth (Rev+58%, Op+121%)",58.4,120.6,-5.5,진입금지 (단기급등),46.0,13.4,3.0,8.11,5.5,448.0,0.3,2.43,75,A급,13,버블,13.2,False,,False
