ticker,index,score_321,score_slope,eps_chg_60d,peg,price,ma_20,above_ma,dollar_vol_M,sector,current,7d,30d,60d,90d,is_aligned,is_undervalued,is_growth,undervalued_reason,growth_reason,rev_growth_yoy,op_growth_yoy,from_52w_high
RMD,SP500,9.19,0.0079,0.93,1.46,258.31,254.3,True,257.9,Healthcare,12.12751,12.04277,12.02836,12.01567,12.02367,True,True,False,52주高-12%,,,,-11.9
MCO,SP500,9.19,0.0048,0.95,1.37,515.56,526.29,False,368.5,Financial Services,16.47601,16.46662,16.33519,16.32084,16.17535,True,False,True,,"매출+11%,영업+24%",10.7,23.7,-5.7
FTNT,NASDAQ_100,9.13,0.0045,0.64,,81.26,78.84,True,513.0,Technology,2.94444,2.93539,2.92801,2.92578,2.78964,True,True,True,52주高-29%,"매출+14%,영업+20%",14.4,16.2,-29.2
ALGN,NASDAQ_100,9.13,0.0044,0.66,,163.03,167.41,False,139.8,Healthcare,11.02076,10.99534,10.952,10.94812,10.86886,True,True,False,52주高-30%,,1.8,-21.1,-29.8
GOOGL,NASDAQ_100,9.13,0.0026,0.65,0.85,338.0,328.87,True,10267.5,Tech,11.23667,11.22385,11.20851,11.16439,11.01375,True,False,True,,"매출+16%,영업+10%",15.9,9.5,-1.3
AME,SP500,9.12,0.0027,0.59,3.18,223.98,215.97,True,276.7,Industrials,8.00192,7.98991,7.98134,7.95523,7.80573,True,False,True,,"매출+11%,영업+10%",10.8,9.5,-1.7
ADSK,NASDAQ_100,9.11,0.0018,0.54,0.84,252.87,271.05,False,495.7,Technology,11.6154,11.61207,11.59326,11.55281,11.35354,True,True,True,52주高-23%,"매출+18%,영업+37%",18.0,37.3,-23.2
BKNG,NASDAQ_100,9.08,0.0016,0.41,1.39,5001.84,5226.25,False,1058.4,Consumer Cyclical,266.037,265.99057,265.39246,264.96204,257.45898,True,True,True,52주高-14%,"매출+32%,영업+75%",12.7,23.9,-14.0
ROK,SP500,9.08,0.0021,0.39,,421.65,414.8,True,283.0,Industrials,13.63822,13.63038,13.59258,13.58541,13.01121,True,False,True,,"매출+14%,영업+61%",13.8,61.4,-1.8
AEP,NASDAQ_100,9.02,0.0006,0.09,31.58,119.78,117.48,True,379.7,Utilities,6.3208,6.31782,6.31737,6.31488,6.2974,True,False,True,,"매출+18%,영업+13%",10.9,12.6,-4.0
RVLV,SP400_MidCap,8.16,0.048,20.78,0.34,27.65,29.97,False,24.0,Consumer Cyclical,0.89857,0.89143,0.89143,0.744,0.744,False,True,False,52주高-15%,,4.4,47.3,-15.1
IPAR,SP400_MidCap,6.34,0.014,1.7,3.2,97.57,91.66,True,22.9,Consumer Defensive,4.9214,4.8674,4.83925,4.83925,5.67,False,True,True,52주高-32%,"매출+29%,영업+83%",1.2,2.4,-32.2
FND,SP400_MidCap,6.07,0.0034,0.37,3.0,65.96,71.06,False,175.6,Consumer Cyclical,2.1157,2.10918,2.10788,2.10788,2.09767,False,True,False,52주高-37%,,5.5,2.0,-37.1
SFM,SP400_MidCap,6.02,0.0008,0.12,0.36,70.91,75.52,False,202.2,Consumer Defensive,5.7697,5.76803,5.76262,5.76262,6.05869,False,True,True,52주高-61%,"매출+13%,영업+26%",13.1,25.9,-61.0
TEL,SP500,5.6,0.0265,2.99,0.41,222.78,231.2,False,454.6,Technology,12.35213,12.07835,11.98718,11.99318,10.72581,False,True,True,52주高-11%,"매출+22%,영업+31%",21.7,31.0,-11.1
DY,SP400_MidCap,5.56,0.0235,2.81,0.5,364.39,360.47,True,114.7,Industrials,13.82048,13.59458,13.39424,13.44333,11.47494,False,False,True,,"매출+14%,영업+48%",14.1,48.1,-5.8
ADI,NASDAQ_100,5.35,0.012,1.74,0.41,310.88,299.86,True,1107.2,Semiconductor,11.45146,11.38698,11.23879,11.25542,10.94413,False,False,True,,"매출+26%,영업+65%",25.9,65.2,-2.6
JCI,SP500,5.11,0.0032,0.53,0.12,119.26,115.1,True,710.7,Industrials,5.373,5.36879,5.34121,5.34467,5.15326,False,False,True,,"매출+120%,영업+36%",120.0,36.3,-3.9
CAKE,SP400_MidCap,5.09,0.0044,0.44,1.76,57.96,57.91,True,73.7,Consumer Cyclical,4.02105,4.00439,4.00154,4.00361,4.01013,False,True,False,52주高-16%,,4.8,16.7,-16.0
V,SP500,5.06,0.0034,0.32,1.27,321.83,335.5,False,2668.7,Financial Services,14.47529,14.42704,14.42556,14.42884,14.42856,False,True,False,52주高-14%,,,,-14.0
EPAM,SP400_MidCap,5.04,0.0018,0.22,,208.6,213.97,False,140.4,Technology,12.49445,12.48537,12.45229,12.46729,12.15301,False,True,True,52주高-22%,"매출+19%,영업+15%",19.4,-18.1,-22.5
INTU,NASDAQ_100,5.03,0.0012,0.16,,498.92,578.79,False,1411.5,Tech,26.44761,26.43306,26.39713,26.40423,26.42122,False,True,True,52주高-38%,"매출+18%,영업+91%",18.3,90.7,-38.5
AWK,SP500,5.03,0.0012,0.17,2.61,129.13,130.1,False,187.5,Utilities,6.10235,6.0985,6.09081,6.09204,6.10481,False,True,True,52주高-15%,"매출+14%,영업+26%",9.7,13.1,-15.4
SRE,SP500,5.02,0.001,0.1,,87.01,88.19,False,362.9,Utilities,5.10276,5.09943,5.09493,5.09779,5.06605,False,False,True,,"매출+14%,영업+11%",13.5,11.4,-8.4
MTD,SP500,5.01,0.0006,0.05,4.92,1373.24,1444.67,False,179.3,Healthcare,45.76643,45.73857,45.73357,45.74334,45.93082,False,True,False,52주高-10%,,7.9,4.2,-10.0
ED,SP500,5.01,0.001,0.04,1.43,106.63,102.36,True,199.5,Utilities,6.03171,6.02708,6.02178,6.02917,6.01194,False,False,True,,"매출+26%,영업+177%",10.7,14.2,-4.8
WEC,SP500,5.01,0.0007,0.04,2.13,110.67,107.79,True,240.9,Utilities,5.59075,5.58802,5.58265,5.58879,5.59608,False,False,True,,"매출+13%,영업+17%",12.9,17.2,-5.6
CVS,SP500,5.01,0.0005,0.03,1.33,74.52,78.99,False,743.5,Healthcare,7.17163,7.16814,7.16607,7.16957,7.18952,False,True,False,52주高-12%,,7.8,25.8,-11.8
ZTS,SP500,5.0,0.0031,-0.02,2.16,124.82,124.91,False,570.3,Healthcare,6.81066,6.78718,6.77868,6.8118,6.87881,False,True,False,52주高-29%,,0.5,1.7,-28.6
EIX,SP500,4.99,0.0002,-0.03,0.16,62.28,60.87,True,191.3,Utilities,6.1534,6.15238,6.14888,6.15548,6.15235,False,False,True,,"매출+27%,영업+96%",10.6,52.8,-1.4
CHD,SP500,4.96,0.0011,-0.22,,96.25,89.34,True,267.6,Consumer Defensive,3.98259,3.97696,3.9711,3.99121,3.98323,False,True,False,52주高-16%,,5.0,-4.1,-16.5
CMG,SP500,4.96,0.0023,-0.19,14.51,38.87,39.54,False,602.2,Consumer Cyclical,1.21909,1.21532,1.21451,1.22146,1.2408,False,True,False,52주高-34%,,7.5,-0.6,-34.3
SFBS,SP400_MidCap,4.7,0.0334,3.5,0.35,81.85,78.39,True,25.1,Financial Services,6.99667,6.77333,6.77333,6.76,6.76,False,True,False,52주高-11%,,,,-11.3
ATGE,SP400_MidCap,4.29,0.0088,1.47,2.45,103.55,114.21,False,46.2,Consumer Defensive,8.995,8.93,8.93,8.865,8.795,False,True,True,52주高-34%,"매출+12%,영업+34%",12.4,10.5,-33.7
MRVL,NASDAQ_100,4.23,0.0129,6.13,0.6,78.92,83.05,False,1122.9,Semiconductor,3.58478,3.58025,3.58503,3.37785,3.36548,False,True,True,52주高-35%,"매출+37%,영업+207%",36.8,206.6,-35.0
EQIX,SP500,4.17,0.006,0.86,2.34,820.93,795.68,True,437.8,Real Estate,15.33333,15.25111,15.25111,15.20333,14.80778,False,True,False,52주高-12%,,5.2,12.3,-11.9
IDXX,NASDAQ_100,4.06,0.0022,0.3,2.15,670.46,698.55,False,312.8,Healthcare,14.44565,14.4169,14.4169,14.4019,14.20119,False,True,True,52주高-13%,"매출+13%,영업+17%",13.3,16.8,-12.9
DECK,SP400_MidCap,4.05,0.0512,5.24,1.5,119.34,103.25,True,376.9,Consumer Cyclical,7.19366,6.84349,6.84858,6.83525,6.83811,False,True,False,52주高-40%,,,,-39.9
